Date,BallType,BallNumber,Position,PowerPlay,Year,YearMonth
2010-02-03,Main,37,1,2,2010,2010-02
2010-02-06,Main,22,1,3,2010,2010-02
2010-02-10,Main,29,1,5,2010,2010-02
2011-01-01,Main,37,1,2,2011,2011-01
2011-01-05,Main,40,1,5,2011,2011-01
2011-01-08,Main,7,1,2,2011,2011-01
2012-01-04,Main,50,1,4,2012,2012-01
2012-01-07,Main,3,1,5,2012,2012-01
2012-01-11,Main,47,1,2,2012,2012-01
2013-01-02,Main,20,1,,2013,2013-01
2013-01-05,Main,30,1,,2013,2013-01
2013-01-09,Main,11,1,,2013,2013-01
2014-01-01,Main,52,1,,2014,2014-01
2014-01-04,Main,19,1,,2014,2014-01
2014-01-08,Main,39,1,,2014,2014-01
2015-01-03,Main,4,1,3,2015,2015-01
2015-01-07,Main,47,1,2,2015,2015-01
2015-01-10,Main,19,1,5,2015,2015-01
2016-01-02,Main,42,1,2,2016,2016-01
2016-01-06,Main,47,1,3,2016,2016-01
2016-01-09,Main,32,1,3,2016,2016-01
2017-01-04,Main,17,1,3,2017,2017-01
2017-01-07,Main,37,1,2,2017,2017-01
2017-01-11,Main,1,1,2,2017,2017-01
2018-01-03,Main,42,1,3,2018,2018-01
2018-01-06,Main,12,1,3,2018,2018-01
2018-01-10,Main,7,1,5,2018,2018-01
2019-01-02,Main,56,1,2,2019,2019-01
2019-01-05,Main,15,1,2,2019,2019-01
2019-01-09,Main,19,1,3,2019,2019-01
2020-01-01,Main,49,1,2,2020,2020-01
2020-01-04,Main,54,1,2,2020,2020-01
2020-01-08,Main,7,1,4,2020,2020-01
2021-01-02,Main,3,1,2,2021,2021-01
2021-01-06,Main,1,1,3,2021,2021-01
2021-01-09,Main,45,1,2,2021,2021-01
2022-01-01,Main,39,1,2,2022,2022-01
2022-01-03,Main,2,1,2,2022,2022-01
2022-01-05,Main,25,1,2,2022,2022-01
2023-01-02,Main,9,1,2,2023,2023-01
2023-01-04,Main,68,1,3,2023,2023-01
2023-01-07,Main,45,1,3,2023,2023-01
2024-01-01,Main,21,1,3,2024,2024-01
2024-01-03,Main,48,1,10,2024,2024-01
2024-01-06,Main,4,1,2,2024,2024-01
2025-01-01,Main,66,1,3,2025,2025-01
2025-01-04,Main,43,1,2,2025,2025-01
2025-01-06,Main,17,1,2,2025,2025-01
2010-02-03,Main,52,2,2,2010,2010-02
2010-02-06,Main,54,2,3,2010,2010-02
2010-02-10,Main,8,2,5,2010,2010-02
2011-01-01,Main,47,2,2,2011,2011-01
2011-01-05,Main,22,2,5,2011,2011-01
2011-01-08,Main,52,2,2,2011,2011-01
2012-01-04,Main,35,2,4,2012,2012-01
2012-01-07,Main,24,2,5,2012,2012-01
2012-01-11,Main,5,2,2,2012,2012-01
2013-01-02,Main,18,2,,2013,2013-01
2013-01-05,Main,49,2,,2013,2013-01
2013-01-09,Main,20,2,,2013,2013-01
2014-01-01,Main,48,2,,2014,2014-01
2014-01-04,Main,58,2,,2014,2014-01
2014-01-08,Main,28,2,,2014,2014-01
2015-01-03,Main,43,2,3,2015,2015-01
2015-01-07,Main,49,2,2,2015,2015-01
2015-01-10,Main,9,2,5,2015,2015-01
2016-01-02,Main,15,2,2,2016,2016-01
2016-01-06,Main,2,2,3,2016,2016-01
2016-01-09,Main,16,2,3,2016,2016-01
2017-01-04,Main,16,2,3,2017,2017-01
2017-01-07,Main,63,2,2,2017,2017-01
2017-01-11,Main,16,2,2,2017,2017-01
2018-01-03,Main,39,2,3,2018,2018-01
2018-01-06,Main,61,2,3,2018,2018-01
2018-01-10,Main,24,2,5,2018,2018-01
2019-01-02,Main,46,2,2,2019,2019-01
2019-01-05,Main,27,2,2,2019,2019-01
2019-01-09,Main,59,2,3,2019,2019-01
2020-01-01,Main,53,2,2,2020,2020-01
2020-01-04,Main,1,2,2,2020,2020-01
2020-01-08,Main,43,2,4,2020,2020-01
2021-01-02,Main,67,2,2,2021,2021-01
2021-01-06,Main,66,2,3,2021,2021-01
2021-01-09,Main,46,2,2,2021,2021-01
2022-01-01,Main,48,2,2,2022,2022-01
2022-01-03,Main,33,2,2,2022,2022-01
2022-01-05,Main,6,2,2,2022,2022-01
2023-01-02,Main,62,2,2,2023,2023-01
2023-01-04,Main,12,2,3,2023,2023-01
2023-01-07,Main,36,2,3,2023,2023-01
2024-01-01,Main,49,2,3,2024,2024-01
2024-01-03,Main,30,2,10,2024,2024-01
2024-01-06,Main,34,2,2,2024,2024-01
2025-01-01,Main,6,2,3,2025,2025-01
2025-01-04,Main,54,2,2,2025,2025-01
2025-01-06,Main,34,2,2,2025,2025-01
2010-02-03,Main,22,3,2,2010,2010-02
2010-02-06,Main,52,3,3,2010,2010-02
2010-02-10,Main,37,3,5,2010,2010-02
2011-01-01,Main,18,3,2,2011,2011-01
2011-01-05,Main,32,3,5,2011,2011-01
2011-01-08,Main,6,3,2,2011,2011-01
2012-01-04,Main,21,3,4,2012,2012-01
2012-01-07,Main,38,3,5,2012,2012-01
2012-01-11,Main,29,3,2,2012,2012-01
2013-01-02,Main,53,3,,2013,2013-01
2013-01-05,Main,54,3,,2013,2013-01
2013-01-09,Main,13,3,,2013,2013-01
2014-01-01,Main,15,3,,2014,2014-01
2014-01-04,Main,37,3,,2014,2014-01
2014-01-08,Main,58,3,,2014,2014-01
2015-01-03,Main,46,3,3,2015,2015-01
2015-01-07,Main,59,3,2,2015,2015-01
2015-01-10,Main,29,3,5,2015,2015-01
2016-01-02,Main,6,3,2,2016,2016-01
2016-01-06,Main,63,3,3,2016,2016-01
2016-01-09,Main,19,3,3,2016,2016-01
2017-01-04,Main,42,3,3,2017,2017-01
2017-01-07,Main,12,3,2,2017,2017-01
2017-01-11,Main,13,3,2,2017,2017-01
2018-01-03,Main,18,3,3,2018,2018-01
2018-01-06,Main,30,3,3,2018,2018-01
2018-01-10,Main,50,3,5,2018,2018-01
2019-01-02,Main,42,3,2,2019,2019-01
2019-01-05,Main,69,3,2,2019,2019-01
2019-01-09,Main,37,3,3,2019,2019-01
2020-01-01,Main,57,3,2,2020,2020-01
2020-01-04,Main,25,3,2,2020,2020-01
2020-01-08,Main,56,3,4,2020,2020-01
2021-01-02,Main,41,3,2,2021,2021-01
2021-01-06,Main,20,3,3,2021,2021-01
2021-01-09,Main,26,3,2,2021,2021-01
2022-01-01,Main,12,3,2,2022,2022-01
2022-01-03,Main,13,3,2,2022,2022-01
2022-01-05,Main,14,3,2,2022,2022-01
2023-01-02,Main,12,3,2,2023,2023-01
2023-01-04,Main,56,3,3,2023,2023-01
2023-01-07,Main,67,3,3,2023,2023-01
2024-01-01,Main,44,3,3,2024,2024-01
2024-01-03,Main,38,3,10,2024,2024-01
2024-01-06,Main,61,3,2,2024,2024-01
2025-01-01,Main,28,3,3,2025,2025-01
2025-01-04,Main,56,3,2,2025,2025-01
2025-01-06,Main,46,3,2,2025,2025-01
2010-02-03,Main,36,4,2,2010,2010-02
2010-02-06,Main,14,4,3,2010,2010-02
2010-02-10,Main,38,4,5,2010,2010-02
2011-01-01,Main,22,4,2,2011,2011-01
2011-01-05,Main,26,4,5,2011,2011-01
2011-01-08,Main,33,4,2,2011,2011-01
2012-01-04,Main,47,4,4,2012,2012-01
2012-01-07,Main,21,4,5,2012,2012-01
2012-01-11,Main,45,4,2,2012,2012-01
2013-01-02,Main,28,4,,2013,2013-01
2013-01-05,Main,26,4,,2013,2013-01
2013-01-09,Main,27,4,,2013,2013-01
2014-01-01,Main,24,4,,2014,2014-01
2014-01-04,Main,20,4,,2014,2014-01
2014-01-08,Main,47,4,,2014,2014-01
2015-01-03,Main,55,4,3,2015,2015-01
2015-01-07,Main,15,4,2,2015,2015-01
2015-01-10,Main,2,4,5,2015,2015-01
2016-01-02,Main,5,4,2,2016,2016-01
2016-01-06,Main,62,4,3,2016,2016-01
2016-01-09,Main,57,4,3,2016,2016-01
2017-01-04,Main,41,4,3,2017,2017-01
2017-01-07,Main,24,4,2,2017,2017-01
2017-01-11,Main,43,4,2,2017,2017-01
2018-01-03,Main,2,4,3,2018,2018-01
2018-01-06,Main,29,4,3,2018,2018-01
2018-01-10,Main,49,4,5,2018,2018-01
2019-01-02,Main,12,4,2,2019,2019-01
2019-01-05,Main,7,4,2,2019,2019-01
2019-01-09,Main,6,4,3,2019,2019-01
2020-01-01,Main,59,4,2,2020,2020-01
2020-01-04,Main,21,4,2,2020,2020-01
2020-01-08,Main,4,4,4,2020,2020-01
2021-01-02,Main,4,4,2,2021,2021-01
2021-01-06,Main,22,4,3,2021,2021-01
2021-01-09,Main,14,4,2,2021,2021-01
2022-01-01,Main,50,4,2,2022,2022-01
2022-01-03,Main,32,4,2,2022,2022-01
2022-01-05,Main,33,4,2,2022,2022-01
2023-01-02,Main,7,4,2,2023,2023-01
2023-01-04,Main,32,4,3,2023,2023-01
2023-01-07,Main,35,4,3,2023,2023-01
2024-01-01,Main,42,4,3,2024,2024-01
2024-01-03,Main,68,4,10,2024,2024-01
2024-01-06,Main,31,4,2,2024,2024-01
2025-01-01,Main,12,4,3,2025,2025-01
2025-01-04,Main,26,4,2,2025,2025-01
2025-01-06,Main,67,4,2,2025,2025-01
2010-02-03,Main,17,5,2,2010,2010-02
2010-02-06,Main,59,5,3,2010,2010-02
2010-02-10,Main,5,5,5,2010,2010-02
2011-01-01,Main,54,5,2,2011,2011-01
2011-01-05,Main,38,5,5,2011,2011-01
2011-01-08,Main,26,5,2,2011,2011-01
2012-01-04,Main,46,5,4,2012,2012-01
2012-01-07,Main,39,5,5,2012,2012-01
2012-01-11,Main,19,5,2,2012,2012-01
2013-01-02,Main,35,5,,2013,2013-01
2013-01-05,Main,51,5,,2013,2013-01
2013-01-09,Main,59,5,,2013,2013-01
2014-01-01,Main,40,5,,2014,2014-01
2014-01-04,Main,41,5,,2014,2014-01
2014-01-08,Main,10,5,,2014,2014-01
2015-01-03,Main,18,5,3,2015,2015-01
2015-01-07,Main,14,5,2,2015,2015-01
2015-01-10,Main,28,5,5,2015,2015-01
2016-01-02,Main,29,5,2,2016,2016-01
2016-01-06,Main,11,5,3,2016,2016-01
2016-01-09,Main,34,5,3,2016,2016-01
2017-01-04,Main,29,5,3,2017,2017-01
2017-01-07,Main,3,5,2,2017,2017-01
2017-01-11,Main,3,5,2,2017,2017-01
2018-01-03,Main,37,5,3,2018,2018-01
2018-01-06,Main,33,5,3,2018,2018-01
2018-01-10,Main,33,5,5,2018,2018-01
2019-01-02,Main,8,5,2,2019,2019-01
2019-01-05,Main,3,5,2,2019,2019-01
2019-01-09,Main,49,5,3,2019,2019-01
2020-01-01,Main,62,5,2,2020,2020-01
2020-01-04,Main,11,5,2,2020,2020-01
2020-01-08,Main,2,5,4,2020,2020-01
2021-01-02,Main,11,5,2,2021,2021-01
2021-01-06,Main,60,5,3,2021,2021-01
2021-01-09,Main,38,5,2,2021,2021-01
2022-01-01,Main,6,5,2,2022,2022-01
2022-01-03,Main,48,5,2,2022,2022-01
2022-01-05,Main,46,5,2,2022,2022-01
2023-01-02,Main,31,5,2,2023,2023-01
2023-01-04,Main,67,5,3,2023,2023-01
2023-01-07,Main,44,5,3,2023,2023-01
2024-01-01,Main,12,5,3,2024,2024-01
2024-01-03,Main,31,5,10,2024,2024-01
2024-01-06,Main,38,5,2,2024,2024-01
2025-01-01,Main,35,5,3,2025,2025-01
2025-01-04,Main,32,5,2,2025,2025-01
2025-01-06,Main,66,5,2,2025,2025-01
2010-02-03,Powerball,24,PB,2,2010,2010-02
2010-02-06,Powerball,4,PB,3,2010,2010-02
2010-02-10,Powerball,34,PB,5,2010,2010-02
2011-01-01,Powerball,36,PB,2,2011,2011-01
2011-01-05,Powerball,7,PB,5,2011,2011-01
2011-01-08,Powerball,24,PB,2,2011,2011-01
2012-01-04,Powerball,2,PB,4,2012,2012-01
2012-01-07,Powerball,24,PB,5,2012,2012-01
2012-01-11,Powerball,25,PB,2,2012,2012-01
2013-01-02,Powerball,20,PB,,2013,2013-01
2013-01-05,Powerball,25,PB,,2013,2013-01
2013-01-09,Powerball,26,PB,,2013,2013-01
2014-01-01,Powerball,23,PB,,2014,2014-01
2014-01-04,Powerball,14,PB,,2014,2014-01
2014-01-08,Powerball,22,PB,,2014,2014-01
2015-01-03,Powerball,25,PB,3,2015,2015-01
2015-01-07,Powerball,10,PB,2,2015,2015-01
2015-01-10,Powerball,19,PB,5,2015,2015-01
2016-01-02,Powerball,10,PB,2,2016,2016-01
2016-01-06,Powerball,17,PB,3,2016,2016-01
2016-01-09,Powerball,13,PB,3,2016,2016-01
2017-01-04,Powerball,4,PB,3,2017,2017-01
2017-01-07,Powerball,10,PB,2,2017,2017-01
2017-01-11,Powerball,24,PB,2,2017,2017-01
2018-01-03,Powerball,12,PB,3,2018,2018-01
2018-01-06,Powerball,26,PB,3,2018,2018-01
2018-01-10,Powerball,4,PB,5,2018,2018-01
2019-01-02,Powerball,12,PB,2,2019,2019-01
2019-01-05,Powerball,19,PB,2,2019,2019-01
2019-01-09,Powerball,22,PB,3,2019,2019-01
2020-01-01,Powerball,26,PB,2,2020,2020-01
2020-01-04,Powerball,7,PB,2,2020,2020-01
2020-01-08,Powerball,22,PB,4,2020,2020-01
2021-01-02,Powerball,5,PB,2,2021,2021-01
2021-01-06,Powerball,3,PB,3,2021,2021-01
2021-01-09,Powerball,13,PB,2,2021,2021-01
2022-01-01,Powerball,7,PB,2,2022,2022-01
2022-01-03,Powerball,22,PB,2,2022,2022-01
2022-01-05,Powerball,17,PB,2,2022,2022-01
2023-01-02,Powerball,22,PB,2,2023,2023-01
2023-01-04,Powerball,26,PB,3,2023,2023-01
2023-01-07,Powerball,14,PB,3,2023,2023-01
2024-01-01,Powerball,1,PB,3,2024,2024-01
2024-01-03,Powerball,8,PB,10,2024,2024-01
2024-01-06,Powerball,13,PB,2,2024,2024-01
2025-01-01,Powerball,26,PB,3,2025,2025-01
2025-01-04,Powerball,24,PB,2,2025,2025-01
2025-01-06,Powerball,14,PB,2,2025,2025-01
